# Placement-broken reference (tensor-split vs model layer count).
# Updated when Tier A archetype matrix runs complete. Do not gate B+8 on these rows alone.
#
# topology	class	model	straggler_backend	straggler_pct	overlap_pct	overlap_eff	notes
b6-2gpu-f-triton-n384-v2-llama70b-hip	2gpu	llama-3-70b-Q4_K_M	0	85%	0.8%	1.20	TS=50,50; one RPC owns most layers
b6-3gpu-g-triton	Qwen3.6-35B-A3B	1	54%	0.2%	1.05	TS=30,35,35; skewed MoE mid-pipeline
b6-2gpu-f-triton-n384-v1-moe-gemma-cuda	2gpu	gemma-moe	1	37%	1.3%	2.08	more balanced; overlap headroom
b6-overlap-gpu-skew-B	3gpu	Qwen3.6-35B-A3B	1	54%	0.2%	1.05	3090 straggler; serial_dispatch 91%
b6-6gpu-frontier-smoke-qwen80b	6gpu	Qwen3-Next-80B-A3B	5	80%	9.1%	3.89	dual OFF; CKV turbo3; no offload
b6-minimax-6gpu-fit-20260701-160158	6gpu	MiniMax-139B-A10B	6	?	0.2%	?	TS=17,8,25,8,16,26 NGL=43; 30% CPU layers; G=5.7 stable
b6-minimax-6gpu-fit-20260701-161232	6gpu	MiniMax-139B-A10B	6	?	0.2%	?	post-rebuild; TS=17,8,25,8,16,26 NGL=43; smoke G=4.6 stable G=3.1
b6-3gpu-g-triton	qwen3-moe-next	Qwen3-Next-80B-A3B-Instruct-Q5_K_M.gguf	load_fail	rc=1	RPC0 17.7GB alloc OOM; use 6gpu frontier row
b6-3gpu-g-triton	qwen-coder-next	Qwen3-Coder-Next-APEX-I-Quality.gguf	load_fail	rc=1	RPC0 16.9GB alloc OOM; PASS on b6-4gpu-g-triton G=54.0
b6-3gpu-g-triton	moe-mixtral	Mixtral-8x22B-Instruct-v0.1.IQ4_XS-00001-of-00002.gguf	load_fail	rc=1	skip: single-shard; merge GGUF needed
